MERCHANT_TX_ID,TX_ID,PAYMENT_REFERENCE,EVENT_TYPE,EVENT_TIMESTAMP,MERCHANT_ID,PAYMENT_METHOD,AMOUNT,CURRENCY,COUNTRY
9dd851f6-68e2-4e25-969d-a9b6deb64556,140120044511,692WGFJ,SUCCEEDED,2023-09-23T09:17:44Z,TAZAPAYLIVECDKLLC4345246589,BLIK,199.99,PLN,PL
d9d71715-d692-458c-96a8-29d070cea2d1,140120045035,62PIOTH,SUCCEEDED,2023-09-23T09:19:32Z,TAZAPAYLIVECDKLLC4345246589,BLIK,351.29,PLN,PL
2e6283db-74c1-4838-a8ed-ba180fd98544,140120045868,6ARIX7S,SUCCEEDED,2023-09-23T09:21:23Z,TAZAPAYLIVECDKLLC4345246589,BLIK,216.19,PLN,PL
685fa856-8635-4744-8168-500dfe1c93b5,2130360468,5CR1BOB,SUCCEEDED,2023-09-23T09:22:55Z,TAZAPAYLIVECDKLLC4345246589,BLIK,108.09,PLN,PL
1cd382dc-2917-4e68-ab5e-8a1dead94111,2130360372,5WC16WG,SUCCEEDED,2023-09-23T09:23:19Z,TAZAPAYLIVECDKLLC4345246589,BLIK,216.19,PLN,PL
4fa6d43f-26cc-4703-a24a-1aac62cf42c1,2130361880,5H5N47T,SUCCEEDED,2023-09-23T09:26:38Z,TAZAPAYLIVECDKLLC4345246589,BLIK,199.99,PLN,PL
10bc5a73-0198-4619-9b20-c95acca11bd6,140120048096,6WQI2J3,SUCCEEDED,2023-09-23T09:27:28Z,TAZAPAYLIVECDKLLC4345246589,BLIK,91.79,PLN,PL
27580816-6988-49de-8d8d-a90b614c692d,140120050717,6PUJRNB,SUCCEEDED,2023-09-23T09:33:45Z,TAZAPAYLIVECDKLLC4345246589,BLIK,37.19,PLN,PL
8c99ff40-ab10-4ec7-b623-3143ee7189da,2130365480,5UE4ZOZ,SUCCEEDED,2023-09-23T09:35:50Z,TAZAPAYLIVECDKLLC4345246589,BLIK,351.29,PLN,PL
9c3a2e1e-5439-44d1-a4aa-8000599fe30e,140120051998,6A0EXAX,SUCCEEDED,2023-09-23T09:37:09Z,TAZAPAYLIVECDKLLC4345246589,BLIK,26.99,PLN,PL
0f979818-08c6-43b4-b000-bddd31ee4df2,140120052338,6V0GCGK,SUCCEEDED,2023-09-23T09:38:12Z,TAZAPAYLIVECDKLLC4345246589,BLIK,199.99,PLN,PL
3d4ac716-2c54-4665-8fd1-1fb8cd773052,140120053229,68HNXWE,SUCCEEDED,2023-09-23T09:41:04Z,TAZAPAYLIVECDKLLC4345246589,BLIK,351.29,PLN,PL
804a0495-5afc-4ba7-8139-30c0e374c65a,140120056391,67W9EJP,SUCCEEDED,2023-09-23T09:49:07Z,TAZAPAYLIVECDKLLC4345246589,BLIK,351.29,PLN,PL
26bbf2b0-3ddb-4f5b-8ad4-bd2e6b6fa346,2130370699,57ZT35Z,SUCCEEDED,2023-09-23T09:49:42Z,TAZAPAYLIVECDKLLC4345246589,BLIK,26.39,PLN,PL
9b081580-29f9-4c69-893d-4a46788161df,140120056646,67WD6H2,SUCCEEDED,2023-09-23T09:50:12Z,TAZAPAYLIVECDKLLC4345246589,BLIK,405.39,PLN,PL
fc3be221-63c0-44ea-ae98-3e0a17009312,2130372480,5NT09TS,SUCCEEDED,2023-09-23T09:54:02Z,TAZAPAYLIVECDKLLC4345246589,BLIK,351.29,PLN,PL
83dc0239-ba7c-4529-9cf1-ef437f4713b4,2130372703,58VNMOX,SUCCEEDED,2023-09-23T09:54:58Z,TAZAPAYLIVECDKLLC4345246589,BLIK,91.57,PLN,PL
2b8261e7-5756-4ce2-858a-eee08c69dd85,140120055215,67PMYEZ,SUCCEEDED,2023-09-23T09:55:06Z,TAZAPAYLIVECDKLLC4345246589,BLIK,216.19,PLN,PL
da7d1fc6-9b67-4935-9d0e-dd1c855f44fb,2130372797,5DTBMFR,SUCCEEDED,2023-09-23T09:55:14Z,TAZAPAYLIVECDKLLC4345246589,BLIK,89.09,PLN,PL
03ca7bef-4ad7-401e-b49e-fc744ed506ac,2130372827,5WMH5OT,SUCCEEDED,2023-09-23T09:55:17Z,TAZAPAYLIVECDKLLC4345246589,BLIK,351.29,PLN,PL
8de5e079-dea7-43d7-baaa-36eebb94b210,2130374353,58I2LKO,SUCCEEDED,2023-09-23T09:59:40Z,TAZAPAYLIVECDKLLC4345246589,BLIK,36.69,PLN,PL
b968c79f-bb04-4c25-862a-69502d4d443b,2130376276,57BU9V4,SUCCEEDED,2023-09-23T10:04:46Z,TAZAPAYLIVECDKLLC4345246589,BLIK,20.99,PLN,PL
2273cf0e-4748-4afb-8c94-db333f74c9ec,2130373705,53D9O1O,SUCCEEDED,2023-09-23T10:06:57Z,TAZAPAYLIVECDKLLC4345246589,BLIK,291.79,PLN,PL
cb4d9132-eff6-4b0a-bcae-4ecf57786620,140120063887,6WBUFJB,SUCCEEDED,2023-09-23T10:08:22Z,TAZAPAYLIVECDKLLC4345246589,BLIK,351.29,PLN,PL
de6ae8c4-ee44-4b08-baee-a55004df8221,2130379194,575OJKV,SUCCEEDED,2023-09-23T10:11:36Z,TAZAPAYLIVECDKLLC4345246589,BLIK,216.19,PLN,PL
b4393de1-804e-4088-bf84-422087f25396,2130379553,5LLW26S,SUCCEEDED,2023-09-23T10:12:34Z,TAZAPAYLIVECDKLLC4345246589,BLIK,199.99,PLN,PL
a039bd12-a87f-4980-82c5-cebb9790c81b,2130382679,56OENUQ,SUCCEEDED,2023-09-23T10:20:37Z,TAZAPAYLIVECDKLLC4345246589,BLIK,199.99,PLN,PL
a63c4164-f4d4-4318-a53e-a4aad134d4f7,2130383125,5PZF1Z5,SUCCEEDED,2023-09-23T10:21:41Z,TAZAPAYLIVECDKLLC4345246589,BLIK,242.09,PLN,PL
eb79d25b-477d-449f-ab94-21f1eafdbc71,2130384623,51K2EAY,SUCCEEDED,2023-09-23T10:26:09Z,TAZAPAYLIVECDKLLC4345246589,BLIK,94.41,PLN,PL
38eab70d-6de2-4097-912e-bbefece2bdda,2130385161,5C8CDLM,SUCCEEDED,2023-09-23T10:28:04Z,TAZAPAYLIVECDKLLC4345246589,BLIK,351.29,PLN,PL
ef5639c0-5804-4471-aaaf-54423f9d96d8,140120073090,64JI9MJ,SUCCEEDED,2023-09-23T10:31:50Z,TAZAPAYLIVECDKLLC4345246589,BLIK,92.28,PLN,PL
42da889a-90b9-47bc-9641-53cfd9b14d7b,2130387340,5CUVJSA,SUCCEEDED,2023-09-23T10:32:46Z,TAZAPAYLIVECDKLLC4345246589,BLIK,162.09,PLN,PL
0e230d17-ba4b-4997-bc77-e8afb9869dce,140120074769,6QSW981,SUCCEEDED,2023-09-23T10:36:14Z,TAZAPAYLIVECDKLLC4345246589,BLIK,167.49,PLN,PL
b0a4c92e-59cf-47d7-81d4-fd59401f4677,140120074965,6X7LMQR,SUCCEEDED,2023-09-23T10:36:33Z,TAZAPAYLIVECDKLLC4345246589,BLIK,21.59,PLN,PL
c0d67741-08ed-4773-bc45-e2a51e8132e2,2130389137,52FK6PR,SUCCEEDED,2023-09-23T10:37:12Z,TAZAPAYLIVECDKLLC4345246589,BLIK,59.39,PLN,PL
64219d04-8df5-4186-a4ee-18ff9b69cb45,2130388875,52ZQQ4D,SUCCEEDED,2023-09-23T10:37:21Z,TAZAPAYLIVECDKLLC4345246589,BLIK,10.79,PLN,PL
1f3be77f-6853-448c-acee-be42be842695,140120075764,6JZ027H,SUCCEEDED,2023-09-23T10:38:31Z,TAZAPAYLIVECDKLLC4345246589,BLIK,129.29,PLN,PL
